dep;surface
04;1631715.9
05;343422.3
06;3365592.3
07;3233116.6
11;7033304.2
13;10171944.7
26;520628.4
2A;5904791.4
2B;17618120.6
30;2537743.4
34;8670945.6
48;1769535.0
66;5218819.7
83;5527260.1
84;1708271.6
