dep;total;surface
04;75;5165807.43
05;19;816380.24
06;246;8791426.71
07;200;7883027.76
11;174;7855763.57
13;310;20183893.33
26;42;965922.86
2A;513;23314761.81
2B;709;52243072.33
30;117;5701624.19
34;219;10163257.95
48;87;4437434.19
66;143;8143818.05
83;343;35741437.05
84;69;2525261.33
