year;surface
2007;6485.18
2008;3745.64
2009;11111.71
2010;6184.17
2011;4499.26
2012;4380.91
2013;1920.57
2014;4113.0
2015;3042.43
2016;12125.31
2017;19691.63
2018;3064.62
2019;8433.87
2020;7693.39
2021;10648.35
