dep;surface
04;10100.24
05;7342.52
06;46284.29
07;62891.57
11;602973.1
13;64216.1
26;3342.86
2A;58118.95
2B;163490.81
30;34860.67
34;376295.95
48;28654.19
66;195744.05
83;3260823.29
84;135495.14
