dep;surface
04;5976108.3
05;543471.0
06;7329699.6
07;7163071.9
11;6329650.0
13;14513307.3
26;797059.9
2A;16510728.5
2B;50258933.7
30;2888467.3
34;11329027.8
48;4608059.0
66;6524303.2
83;29961346.2
84;873940.0
